"","ds0_1","ds0_18","ds0_19","ds0_21","ds0_28","ds0_29","ds0_30","ds0_9","ds1_15","ds1_18","ds1_19","ds1_21","ds1_28","ds1_29","ds1_30","ds1_9","ds10_15","ds10_18","ds10_19","ds10_21","ds10_23","ds10_28","ds10_29","ds10_30","ds10_9","ds5_15","ds5_18","ds5_19","ds5_21","ds5_23","ds5_28","ds5_29","ds5_30"
"ds0_1",0,0.931871574001566,0.964761158966327,0.85512920908379,0.94435736677116,0.877838684416601,0.909945184025059,0.981205951448708,0.916209866875489,0.923197492163009,0.992169146436962,0.784651527016445,0.956061200470773,0.95531164249314,0.898981989036805,0.729835552075176,0.923257635082224,0.920908379013312,0.924040720438528,0.916992952231793,0.924794359576968,0.933437744714174,0.938919342208301,0.916209866875489,0.890368050117463,0.956641702798581,0.958496476115897,0.975724353954581,0.910728269381363,0.923197492163009,0.949862906384646,0.952231793265466,0.86833855799373
"ds0_18",0.931871574001566,0,0.962411902897416,0.982772122161316,0.960031347962382,0.963978073610024,0.962411902897416,0.981205951448708,0.945967110415035,0.896551724137931,0.987470634299139,0.994518402505873,0.976461357395057,0.976479811838495,0.945184025058731,0.994518402505873,0.954581049334377,0.924823805794832,0.945184025058731,0.967893500391543,0.959263611437524,0.976507439310885,0.949882537196554,0.949882537196554,0.960062646828504,0.97240835632637,0.968676585747847,0.985121378230227,0.872357086922475,0.934169278996865,0.974148061104583,0.956930305403289,0.894200626959248
"ds0_19",0.964761158966327,0.962411902897416,0,0.877055599060298,0.887147335423197,0.970242756460454,0.844166014095536,0.987470634299139,0.873923257635082,0.865203761755486,0.981989036805012,0.98981989036805,0.887014515496273,0.655037240297922,0.888018794048551,0.996084573218481,0.911511354737666,0.904463586530932,0.913860610806578,0.893500391542678,0.885624755189973,0.888801879404855,0.873140172278778,0.931088488645262,0.896632732967893,0.895940086716594,0.986687548942835,0.96945967110415,0.96319498825372,0.936520376175549,0.891891891891892,0.914643696162882,0.91692789968652
"ds0_21",0.85512920908379,0.982772122161316,0.877055599060298,0,0.986677115987461,0.955364134690681,0.956147220046985,0.994518402505873,0.967893500391543,0.956112852664577,0.992952231793265,0.982772122161316,0.963122793252256,0.978831830654645,0.966327329678935,0.977290524667189,0.953797963978074,0.974941268598277,0.976507439310885,0.96945967110415,0.963963963963964,0.947533281127643,0.968676585747847,0.96319498825372,0.935003915426782,0.976350019708317,0.975724353954581,0.990602975724354,0.951448707909162,0.991379310344828,0.971014492753623,0.971808927173062,0.975705329153605
"ds0_28",0.94435736677116,0.960031347962382,0.887147335423197,0.986677115987461,0,0.967084639498433,0.690438871473354,0.846394984326019,0.557993730407524,0.890980392156863,0.986677115987461,0.97884012539185,0.578327444051826,0.813260102000785,0.669278996865204,0.9858934169279,0.644200626959248,0.928683385579937,0.877742946708464,0.619122257053291,0.773422187377499,0.583855799373041,0.546238244514107,0.617554858934169,0.606583072100313,0.633925049309665,0.964733542319749,0.95846394984326,0.919278996865204,0.905882352941176,0.612700901607213,0.688087774294671,0.886274509803922
"ds0_29",0.877838684416601,0.963978073610024,0.970242756460454,0.955364134690681,0.967084639498433,0,0.920125293657009,0.989036805011746,0.928739232576351,0.927115987460815,0.989036805011746,0.880187940485513,0.971753628874068,0.944335554684438,0.939702427564605,0.949882537196554,0.967110415035239,0.878621769772905,0.894283476898982,0.956930305403289,0.953779866823345,0.974941268598277,0.958496476115897,0.974158183241973,0.959279561472201,0.970831690973591,0.722787783868442,0.982772122161316,0.974158183241973,0.928683385579937,0.959263611437524,0.981989036805012,0.948275862068966
"ds0_30",0.909945184025059,0.962411902897416,0.844166014095536,0.956147220046985,0.690438871473354,0.920125293657009,0,0.839467501957713,0.596711041503524,0.88871473354232,0.970242756460454,0.97337509788567,0.643781875245194,0.801646413171305,0.668754894283477,0.974941268598277,0.677368833202819,0.90211433046202,0.866875489428348,0.620986687548943,0.82060321190756,0.6938136256852,0.620203602192639,0.696945967110415,0.612372748629601,0.611351990540008,0.926389976507439,0.945184025058731,0.925606891151135,0.912225705329154,0.683509596553075,0.729052466718872,0.855015673981191
"ds0_9",0.981205951448708,0.981205951448708,0.987470634299139,0.994518402505873,0.846394984326019,0.989036805011746,0.839467501957713,0,0.833985904463587,0.959247648902821,0.992952231793265,0.985904463586531,0.880737544134955,0.941983535868287,0.845732184808144,0.985121378230227,0.853563038371182,0.972592012529366,0.952231793265466,0.842599843382929,0.968664316490403,0.870007830853563,0.813625685199687,0.884886452623336,0.791699295223179,0.880961765865195,0.974158183241973,0.948316366483947,0.949099451840251,0.953761755485893,0.884057971014493,0.846515270164448,0.952194357366771
"ds1_15",0.916209866875489,0.945967110415035,0.873923257635082,0.967893500391543,0.557993730407524,0.928739232576351,0.596711041503524,0.833985904463587,0,0.889498432601881,0.982772122161316,0.95301487862177,0.508042369556689,0.725597804782438,0.589663273296789,0.968676585747847,0.650743931088489,0.931088488645262,0.854346123727486,0.533281127642913,0.790050920485703,0.553641346906813,0.501174628034456,0.604541895066562,0.527016444792482,0.555380370516358,0.946750195771339,0.935787000783085,0.920125293657009,0.889498432601881,0.596553074813944,0.68363351605325,0.887147335423197
"ds1_18",0.923197492163009,0.896551724137931,0.865203761755486,0.956112852664577,0.890980392156863,0.927115987460815,0.88871473354232,0.959247648902821,0.889498432601881,0,0.971786833855799,0.986677115987461,0.911268158617982,0.915260886622205,0.902037617554859,0.995297805642633,0.90282131661442,0.847962382445141,0.927115987460815,0.911442006269592,0.799294394355155,0.909090909090909,0.891065830721003,0.88166144200627,0.90282131661442,0.896646942800789,0.945924764890282,0.947492163009404,0.950626959247649,0.846274509803922,0.897295178361427,0.93025078369906,0.954509803921569
