	faith_pd
CNT12_d7_S233	13.194962209
CNT13_d14_S268	9.885615560999998
CNT14_d14_S269	7.131233366999999
CNT17_d7_S238	10.750020741
CNT18_ds5_S251	9.920323128
CNT19_ds5_S239	10.733113078
CNT21_ds5_S288	19.879391532
CNT23_ds5_S255	8.815932861
CNT25_d14_S279	12.238462157
CNT28_ds5_S129_	10.589215678999999
CNT29_ds5_S122	9.036157164
CNT6_d7_S227	10.027122436
