	observed_otus
CFT1_ds0_S67	42
CFT11_d0_S11	31
CFT12_d7_S48	38
CFT13_d0_S13	58
CFT17_d7_S53	72
CFT18_ds0_S18	26
CFT19_ds0_S32	56
CFT2_d0_S2	32
CFT20_d0_S20	27
CFT21_ds1_S70	86
CFT22_d14_S89	44
CFT23_ds1_S34	41
CFT29_ds1_S72	59
CFT30_ds1_S36	34
CFT6_d7_S42	49
CFT9_ds0_S94	45
