"","ID","calf","diagnostic","day","Sickness","Antibiotic","sample","d","Species","RA","RelAbund","comparison"
"60","d7_3","3","NoResp","h7","Never","Yes","d7_3","7","ASV1472",0,0,"d7"
"61","d7_4","4","NoResp","h7","Never","No","d7_4","7","ASV1374",0,0,"d7"
"62","d7_4","4","NoResp","h7","Never","No","d7_4","7","ASV1375",0,0,"d7"
"63","d7_4","4","NoResp","h7","Never","No","d7_4","7","ASV1377",0,0,"d7"
"64","d7_4","4","NoResp","h7","Never","No","d7_4","7","ASV1472",0,0,"d7"
"65","d7_5","5","NoResp","h7","Never","Yes","d7_5","7","ASV1374",0,0,"d7"
"66","d7_5","5","NoResp","h7","Never","Yes","d7_5","7","ASV1375",0,0,"d7"
"67","d7_5","5","NoResp","h7","Never","Yes","d7_5","7","ASV1377",0,0,"d7"
"68","d7_5","5","NoResp","h7","Never","Yes","d7_5","7","ASV1472",0,0,"d7"
"69","d7_6","6","NoResp","h7","Never","No","d7_6","7","ASV1374",0,0,"d7"
"70","d7_6","6","NoResp","h7","Never","No","d7_6","7","ASV1375",0,0,"d7"
"71","d7_6","6","NoResp","h7","Never","No","d7_6","7","ASV1377",0,0,"d7"
"72","d7_6","6","NoResp","h7","Never","No","d7_6","7","ASV1472",0,0,"d7"
"73","d7_7","7","NoResp","h7","Never","Yes","d7_7","7","ASV1374",0,0,"d7"
"74","d7_7","7","NoResp","h7","Never","Yes","d7_7","7","ASV1375",0,0,"d7"
"75","d7_7","7","NoResp","h7","Never","Yes","d7_7","7","ASV1377",0,0,"d7"
"76","d7_7","7","NoResp","h7","Never","Yes","d7_7","7","ASV1472",0,0,"d7"
"77","d7_8","8","NoResp","h7","Never","No","d7_8","7","ASV1374",0,0,"d7"
"78","d7_8","8","NoResp","h7","Never","No","d7_8","7","ASV1375",0,0,"d7"
"79","d7_8","8","NoResp","h7","Never","No","d7_8","7","ASV1377",0,0,"d7"
"80","d7_8","8","NoResp","h7","Never","No","d7_8","7","ASV1472",0,0,"d7"
"81","d7_10","10","NoResp","h7","Never","Yes","d7_10","7","ASV1374",0,0,"d7"
"82","d7_10","10","NoResp","h7","Never","Yes","d7_10","7","ASV1375",0.00391542678151919,0.391542678151919,"d7"
"83","d7_10","10","NoResp","h7","Never","Yes","d7_10","7","ASV1377",0,0,"d7"
"84","d7_10","10","NoResp","h7","Never","Yes","d7_10","7","ASV1472",0,0,"d7"
"85","d7_11","11","NoResp","h7","Never","No","d7_11","7","ASV1374",0,0,"d7"
"86","d7_11","11","NoResp","h7","Never","No","d7_11","7","ASV1375",0.00117924528301887,0.117924528301887,"d7"
"87","d7_11","11","NoResp","h7","Never","No","d7_11","7","ASV1377",0.00235849056603774,0.235849056603774,"d7"
"88","d7_11","11","NoResp","h7","Never","No","d7_11","7","ASV1472",0,0,"d7"
"89","d7_12","12","NoResp","h7","Never","No","d7_12","7","ASV1374",0,0,"d7"
"90","d7_12","12","NoResp","h7","Never","No","d7_12","7","ASV1375",0,0,"d7"
"91","d7_12","12","NoResp","h7","Never","No","d7_12","7","ASV1377",0,0,"d7"
"92","d7_12","12","NoResp","h7","Never","No","d7_12","7","ASV1472",0,0,"d7"
"93","d7_13","13","NoResp","h7","Never","No","d7_13","7","ASV1374",0,0,"d7"
"94","d7_13","13","NoResp","h7","Never","No","d7_13","7","ASV1375",0.00585729499467519,0.585729499467519,"d7"
"95","d7_13","13","NoResp","h7","Never","No","d7_13","7","ASV1377",0,0,"d7"
"96","d7_13","13","NoResp","h7","Never","No","d7_13","7","ASV1472",0,0,"d7"
"97","d7_16","16","NoResp","h7","Never","Yes","d7_16","7","ASV1374",0,0,"d7"
"98","d7_16","16","NoResp","h7","Never","Yes","d7_16","7","ASV1375",0,0,"d7"
"99","d7_16","16","NoResp","h7","Never","Yes","d7_16","7","ASV1377",0,0,"d7"
"100","d7_16","16","NoResp","h7","Never","Yes","d7_16","7","ASV1472",0,0,"d7"
"101","d7_17","17","NoResp","h7","Never","No","d7_17","7","ASV1374",0,0,"d7"
"102","d7_17","17","NoResp","h7","Never","No","d7_17","7","ASV1375",0,0,"d7"
"103","d7_17","17","NoResp","h7","Never","No","d7_17","7","ASV1377",0,0,"d7"
"104","d7_17","17","NoResp","h7","Never","No","d7_17","7","ASV1472",0,0,"d7"
"105","d7_20","20","NoResp","h7","Never","No","d7_20","7","ASV1374",0,0,"d7"
"106","d7_20","20","NoResp","h7","Never","No","d7_20","7","ASV1375",0,0,"d7"
"107","d7_20","20","NoResp","h7","Never","No","d7_20","7","ASV1377",0,0,"d7"
"108","d7_20","20","NoResp","h7","Never","No","d7_20","7","ASV1472",0,0,"d7"
"109","d7_22","22","NoResp","h7","Never","No","d7_22","7","ASV1374",0,0,"d7"
"110","d7_22","22","NoResp","h7","Never","No","d7_22","7","ASV1375",0,0,"d7"
"111","d7_22","22","NoResp","h7","Never","No","d7_22","7","ASV1377",0,0,"d7"
"112","d7_22","22","NoResp","h7","Never","No","d7_22","7","ASV1472",0,0,"d7"
"113","d7_24","24","NoResp","h7","Never","Yes","d7_24","7","ASV1374",0,0,"d7"
"114","d7_24","24","NoResp","h7","Never","Yes","d7_24","7","ASV1375",0,0,"d7"
"115","d7_24","24","NoResp","h7","Never","Yes","d7_24","7","ASV1377",0,0,"d7"
